Series,Date,Player,Team,Goals,Assists,Turnovers,"Quadball Stops","Beater Stops","Beater Shifts","Average Dodgeballs",Plus/Minus,"Runner Catches","Games Played"
"ROC vs CLE",2023-07-29,"Patrick Callanan",ROC,0,0,0,0,2,31,1.3226,2,0,3
"ROC vs CLE",2023-07-29,"Josh Kramer",ROC,0,0,0,0,2,39,1.6667,1,0,3
"ROC vs CLE",2023-07-29,"JD Hopton",ROC,4,0,4,2,0,0,NULL,0,0,3
"ROC vs CLE",2023-07-29,"Madeleine Fordham",ROC,0,0,0,0,4,34,1.4412,2,0,3
"ROC vs CLE",2023-07-29,"Cody Keefer",ROC,8,9,8,12,0,0,NULL,0,0,3
"ROC vs CLE",2023-07-29,"Benjamin Stonish",ROC,3,0,2,3,0,0,NULL,0,0,3
"ROC vs CLE",2023-07-29,"Elizabeth McFarland-Porter",ROC,0,0,4,0,0,0,NULL,0,0,3
"ROC vs CLE",2023-07-29,"Viviana Estrada",ROC,3,1,7,1,0,0,NULL,0,0,3
"ROC vs CLE",2023-07-29,"Ashley Wilson",ROC,3,1,7,4,0,0,NULL,0,0,3
"ROC vs CLE",2023-07-29,"Akshat Shah",ROC,0,0,0,0,2,18,1.5000,3,0,3
"ROC vs CLE",2023-07-29,"Ad Ojo",ROC,1,0,7,3,0,0,NULL,0,0,3
"ROC vs CLE",2023-07-29,"Alyssa Giarrosso",ROC,0,0,0,0,0,0,NULL,0,0,3
"ROC vs CLE",2023-07-29,"Josh Tombline",ROC,0,0,0,0,4,34,1.5294,7,0,3
"SA vs LC",2023-08-05,"Great Usiaphre",LC,7,2,8,2,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Kevin Raber",LC,0,0,0,0,1,25,0.8000,-9,0,3
"SA vs LC",2023-08-05,"Hayden Boyes",LC,11,2,8,4,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Conner Mason",LC,0,0,0,0,2,34,1.0588,-6,0,3
"SA vs LC",2023-08-05,"Jose Reyes",LC,0,0,0,0,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Carlos Elarba",LC,0,0,0,0,3,26,0.8846,-10,0,3
"SA vs LC",2023-08-05,"Jimmie Evans",LC,0,0,0,0,2,40,0.8250,-16,0,3
"SA vs LC",2023-08-05,"Sarah Stewart",LC,0,2,2,3,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Brandon Kubena",LC,2,4,4,1,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Chase Contreras",LC,1,0,5,0,0,2,1.5000,1,0,3
"SA vs LC",2023-08-05,"Gabi Lopez",LC,0,0,0,0,2,35,0.9429,-4,0,3
"SA vs LC",2023-08-05,"Chris Dorsey",LC,3,5,7,4,0,0,NULL,0,1,3
"SA vs LC",2023-08-05,"Morgan Acevedo",LC,0,0,1,0,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Mallory Hughes",LC,0,0,4,0,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Lisa Reisenauer",LC,0,0,3,0,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Ashton Jeanlewis",LC,0,1,1,1,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Juan Acevedo",LC,1,2,11,2,0,0,NULL,0,1,3
"SA vs LC",2023-08-05,"Luke Langlinais",SA,2,4,4,2,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"David Rodriguez",SA,4,0,4,1,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Austin Watson",SA,1,0,0,0,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Maya Hinebaugh",SA,0,0,0,0,3,27,1.5000,3,0,3
"SA vs LC",2023-08-05,"Riley Moehlmann",SA,2,0,1,1,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Trevor Smith",SA,4,3,1,1,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Nicodemus Robles",SA,0,0,0,0,0,13,1.6923,3,0,3
"SA vs LC",2023-08-05,"Emme Gouveia",SA,0,0,0,0,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Matthew Blackwood",SA,5,9,1,6,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Milena Sousa",SA,5,4,2,1,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Kristopher De La Fuente",SA,0,0,0,0,4,30,1.7333,11,0,3
"SA vs LC",2023-08-05,"David Avila",SA,3,5,1,4,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"John Alvarez",SA,2,3,2,0,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Bradley Himes",SA,0,0,0,0,2,23,1.6957,5,0,3
"SA vs LC",2023-08-05,"Jay Stewart",SA,11,7,10,4,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Alyssa Villalba",SA,2,0,1,1,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Javi Tijerina",SA,0,0,0,0,4,23,1.3478,1,0,3
"SA vs LC",2023-08-05,"Brandy Sanchez",SA,0,0,0,0,4,34,1.6765,13,0,3
"SA vs LC",2023-08-05,"Catherine Hay",SA,3,0,1,0,0,0,NULL,0,0,3
"SA vs LC",2023-08-05,"Christian Cortez",SA,4,2,4,3,0,0,NULL,0,1,3
"SA vs LC",2023-08-05,"Kyle Bryant",SA,0,0,0,0,2,6,1.5000,2,0,3
"WAS vs BOS",2023-08-05,"Kieran Collier",BOS,0,0,1,0,1,31,1.5161,2,0,3
"WAS vs BOS",2023-08-05,"Zach Doyle",BOS,0,2,1,2,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Tyler Beckmann",BOS,3,2,4,5,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Fiona Wisehart",BOS,0,0,0,0,1,13,1.3846,0,0,3
"WAS vs BOS",2023-08-05,"Taylor Crawford",BOS,6,4,1,0,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Max Havlin",BOS,0,0,0,0,3,30,1.6333,2,0,3
"WAS vs BOS",2023-08-05,"Leeanne Dillmann",BOS,0,0,0,0,5,28,1.5714,2,0,3
"WAS vs BOS",2023-08-05,"William Richardson",BOS,1,0,3,0,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Stephen Trempel",BOS,0,0,0,0,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Gregory Bento",BOS,2,1,0,0,0,0,NULL,0,1,3
"WAS vs BOS",2023-08-05,"Sierra Delk",BOS,2,0,0,0,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Peter Lawrence",BOS,3,2,5,3,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Carsen Olazaba",BOS,2,1,4,1,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Harry Greenhouse",BOS,3,1,1,2,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Emma Polen",BOS,0,0,0,0,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Serena Monteiro",BOS,0,0,0,0,2,17,1.7059,3,0,3
"WAS vs BOS",2023-08-05,"William Andrews",BOS,0,0,0,0,1,21,1.3333,-3,0,3
"WAS vs BOS",2023-08-05,"Athena Mayor",BOS,5,1,2,1,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Ian Scura",BOS,6,7,6,4,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Morgan Bertram",BOS,1,0,1,2,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Erin McCrady",BOS,0,0,0,0,0,24,1.3750,-4,0,3
"WAS vs BOS",2023-08-05,"Tyler Trudeau",WAS,4,5,2,3,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Julianne Nuetzel",WAS,0,0,1,0,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Bernardo Berges",WAS,0,0,0,0,3,28,1.3571,4,0,3
"WAS vs BOS",2023-08-05,"Adrian Koretsky",WAS,0,0,0,0,2,18,1.0556,-3,0,3
"WAS vs BOS",2023-08-05,"Julia Rankin",WAS,1,0,1,1,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Zain Bhalia",WAS,0,0,0,0,5,19,1.1579,-1,0,3
"WAS vs BOS",2023-08-05,"Cody Nardone",WAS,3,2,1,1,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Diana Howard",WAS,0,0,0,0,2,20,1.3000,-5,0,3
"WAS vs BOS",2023-08-05,"Tai-Juan Generette",WAS,1,0,3,1,0,0,NULL,0,2,3
"WAS vs BOS",2023-08-05,"Katryna Hicks",WAS,0,0,0,1,1,24,1.4167,4,0,3
"WAS vs BOS",2023-08-05,"Rachel Heald",WAS,2,4,3,1,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Colin Bourn",WAS,0,0,0,0,0,14,1.3571,-3,0,3
"WAS vs BOS",2023-08-05,"Riley Starrs",WAS,0,1,2,1,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"John Gaffigan",WAS,2,2,3,0,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Julia Baer",WAS,0,0,2,2,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"David Littleton",WAS,5,3,3,3,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Melissa Smith",WAS,0,0,0,0,0,18,1.0000,0,0,3
"WAS vs BOS",2023-08-05,"Robert Rice",WAS,0,0,0,0,0,19,0.9474,-4,0,3
"WAS vs BOS",2023-08-05,"Dale Farnan",WAS,2,0,1,0,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Shane McConaghie",WAS,9,3,3,4,0,0,NULL,0,0,3
"WAS vs BOS",2023-08-05,"Bryan Mulcahy",WAS,3,1,3,3,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Frank Abbey",CLE,0,1,1,0,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Rob Beaton",CLE,0,0,0,0,0,18,1.1111,-1,0,3
"DET vs CLE",2023-08-12,"Jack Moseley",CLE,2,9,9,2,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Korey Johnson",CLE,1,1,8,5,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Andrew Tudor",CLE,0,0,0,0,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Melinda Staup",CLE,2,0,1,1,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Peter Brechting",CLE,10,3,15,12,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Fiona Gaffney",CLE,1,0,6,1,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Lacey Hutchman",CLE,0,0,0,0,1,24,1.2500,-1,0,3
"DET vs CLE",2023-08-12,"Rae Barnes",CLE,0,0,1,0,0,18,1.0556,-2,0,3
"DET vs CLE",2023-08-12,"Aaron Oehler",CLE,0,0,0,0,6,44,1.2727,-7,0,3
"DET vs CLE",2023-08-12,"Taylor Freeman",CLE,3,0,5,4,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Kyle Dawson",CLE,0,0,0,0,4,30,1.2333,-3,0,3
"DET vs CLE",2023-08-12,"Larissa Gaborick",CLE,0,0,0,0,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Gabbie Benda",CLE,0,0,0,0,2,9,1.4444,1,0,3
"DET vs CLE",2023-08-12,"Sam Beeler",CLE,0,0,0,0,0,40,1.2500,-9,0,3
"DET vs CLE",2023-08-12,"Rachel Krieger",CLE,0,0,0,0,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Carrie Cowden",CLE,3,0,6,4,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Gabriel Boris",CLE,4,2,0,2,0,0,NULL,0,1,3
"DET vs CLE",2023-08-12,"Dominik Twarowski",CLE,1,0,0,0,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Joseph Lombardi",CLE,2,6,8,3,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"David Banas",DET,0,0,0,0,4,23,1.4348,3,0,3
"DET vs CLE",2023-08-12,"Marisa Wier",DET,0,0,0,0,1,26,1.4615,3,0,3
"DET vs CLE",2023-08-12,"Lukas Marklin",DET,6,1,1,3,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Brooke Smiley",DET,0,0,0,0,1,4,1.5000,-1,0,3
"DET vs CLE",2023-08-12,"Rob Butler",DET,1,3,1,6,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Jack Levy",DET,7,0,1,1,0,0,NULL,0,0,2
"DET vs CLE",2023-08-12,"Eden Ahern",DET,0,0,3,0,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Ryan Swanson",DET,0,0,0,0,0,4,1.5000,-1,0,3
"DET vs CLE",2023-08-12,"Rei Brodeur",DET,0,0,0,0,5,62,1.5968,6,0,3
"DET vs CLE",2023-08-12,"Andrew Mueller",DET,1,2,7,4,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Jay Hartnett",DET,0,0,0,0,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Brian Flahie",DET,0,0,0,1,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Amanda Margolis",DET,0,0,5,0,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Nicholas Love",DET,2,0,0,2,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Ethan Wanous",DET,4,3,3,2,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Ryan Hsu",DET,0,0,0,0,18,65,1.6000,6,0,3
"DET vs CLE",2023-08-12,"Lyndsey Smeyers",DET,3,1,5,0,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Ash Toth",DET,0,0,0,0,0,0,NULL,0,0,1
"DET vs CLE",2023-08-12,"Kaegan Maddelein",DET,11,5,4,4,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"Gwen Pratt",DET,4,0,1,3,0,0,NULL,0,0,3
"DET vs CLE",2023-08-12,"George Dering",DET,0,1,0,2,0,0,NULL,0,0,3
"MPLS vs ROC",2023-08-12,"Nicole Nelson",MPLS,0,0,0,0,0,0,NULL,0,0,2
"MPLS vs ROC",2023-08-12,"Matt Bessard",MPLS,0,0,0,0,0,0,NULL,0,0,2
"MPLS vs ROC",2023-08-12,"Cole Lachmiller",MPLS,0,0,0,0,0,0,NULL,0,0,2
"MPLS vs ROC",2023-08-12,"Ben Zimet",MPLS,2,6,3,2,0,0,NULL,0,0,2
"MPLS vs ROC",2023-08-12,"Meredith McDowell",MPLS,1,0,0,0,0,12,1.8333,3,0,2
"MPLS vs ROC",2023-08-12,"Jack Sellner",MPLS,1,1,3,1,0,0,NULL,0,0,2
"MPLS vs ROC",2023-08-12,"Max Meier",MPLS,14,4,2,6,0,0,NULL,0,0,2
"MPLS vs ROC",2023-08-12,"Alexander Obanor",MPLS,0,0,0,0,0,0,NULL,0,0,2
"MPLS vs ROC",2023-08-12,"Zeke Majeske",MPLS,3,3,2,3,0,0,NULL,0,0,2
"MPLS vs ROC",2023-08-12,"Ben Schlueter",MPLS,0,0,0,0,2,21,1.9524,10,0,2
"MPLS vs ROC",2023-08-12,"Nathan Podolsky",MPLS,0,0,0,0,5,31,1.6774,8,0,2
"MPLS vs ROC",2023-08-12,"Emily Sveda",MPLS,2,1,2,2,0,0,NULL,0,0,2
"MPLS vs ROC",2023-08-12,"Mike Devine",MPLS,0,2,4,3,0,0,NULL,0,0,2
"MPLS vs ROC",2023-08-12,"Cole Treml",MPLS,0,0,0,0,0,0,NULL,0,0,2
"MPLS vs ROC",2023-08-12,"Cassandra Evans",MPLS,0,0,1,0,0,0,NULL,0,0,2
"MPLS vs ROC",2023-08-12,"Sydney Stommes",MPLS,0,0,0,0,0,0,NULL,0,0,2
"MPLS vs ROC",2023-08-12,"Anna Nelson",MPLS,0,1,3,2,0,0,NULL,0,0,2
"MPLS vs ROC",2023-08-12,"Joe Blanchard",MPLS,0,0,0,0,7,31,1.9677,12,0,2
"MPLS vs ROC",2023-08-12,"Cody Narveson",MPLS,0,0,0,0,6,37,1.7297,13,0,2
"MPLS vs ROC",2023-08-12,"Henry Baer-Benson",MPLS,14,0,3,1,0,0,NULL,0,1,2
"MPLS vs ROC",2023-08-12,"Rose Mournighan",ROC,0,0,2,1,0,2,1.5000,-1,0,2
"MPLS vs ROC",2023-08-12,"Evalien Duyvesteyn",ROC,0,0,2,1,0,8,0.7500,-7,0,2
"MPLS vs ROC",2023-08-12,"Ashely Dolan",ROC,0,0,0,0,0,0,NULL,0,0,2
"MPLS vs ROC",2023-08-12,"Alyssa Giarrosso",ROC,0,0,0,0,0,0,NULL,0,0,2
"MPLS vs ROC",2023-08-12,"Kit Powpour",ROC,0,0,5,3,0,9,0.8889,-4,0,2
"MPLS vs ROC",2023-08-12,"Ad Ojo",ROC,2,0,2,3,0,0,NULL,0,1,2
"MPLS vs ROC",2023-08-12,"Joe Glichowski",ROC,1,0,1,1,2,38,0.9211,-13,0,2
"MPLS vs ROC",2023-08-12,"JD Hopton",ROC,4,4,6,1,0,2,0.0000,-1,0,2
"MPLS vs ROC",2023-08-12,"Cody Keefer",ROC,5,0,10,5,1,8,0.5000,-3,0,2
"MPLS vs ROC",2023-08-12,"Elizabeth McFarland-Porter",ROC,0,0,4,0,0,6,1.0000,-3,0,2
"MPLS vs ROC",2023-08-12,"Jianhao Gao",ROC,0,0,0,0,0,9,0.4444,-6,0,2
"MPLS vs ROC",2023-08-12,"Ashley Wilson",ROC,0,0,6,3,0,2,0.0000,-1,0,2
"MPLS vs ROC",2023-08-12,"Benjamin Stonish",ROC,1,0,6,5,0,5,1.2000,-1,0,2
"MPLS vs ROC",2023-08-12,"Madeleine Fordham",ROC,0,0,0,0,3,47,0.9362,-14,0,2
"CHI vs TOR",2023-08-13,"Tim Kwan",CHI,0,0,0,0,1,9,1.7778,4,0,2
"CHI vs TOR",2023-08-13,"Jim Richert",CHI,0,0,0,0,2,19,1.2632,8,0,2
"CHI vs TOR",2023-08-13,"Kailey Fugate",CHI,0,0,0,0,0,0,NULL,0,0,1
"CHI vs TOR",2023-08-13,"Benjamin Peachey",CHI,2,0,3,3,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Emma Vasquez",CHI,2,2,1,2,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Nojus Ausra",CHI,0,0,0,0,1,29,1.5172,14,0,2
"CHI vs TOR",2023-08-13,"Liam Zach",CHI,2,5,0,2,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Darian Murcek-Ellis",CHI,6,8,1,5,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Matt Melton",CHI,3,1,0,4,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Lauren Smith",CHI,0,1,3,1,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Dany Yaacoub",CHI,0,0,0,0,0,26,1.6538,10,0,2
"CHI vs TOR",2023-08-13,"Cole Collins",CHI,2,3,0,0,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Nivash Jayaram",CHI,3,1,0,2,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Grant Himmelmann",CHI,2,1,0,2,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Nathan Digmann",CHI,7,5,1,5,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Caleb Williams",CHI,0,0,0,0,1,18,1.7778,7,0,2
"CHI vs TOR",2023-08-13,"Ryley Andrews",CHI,8,4,2,6,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Melanie Rolfe",CHI,0,0,0,0,0,0,NULL,0,0,1
"CHI vs TOR",2023-08-13,"Matt Brown",CHI,0,0,0,0,9,30,1.9000,16,0,2
"CHI vs TOR",2023-08-13,"Ally Manzella",CHI,10,1,1,3,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Linnea Schultz",CHI,0,0,0,0,2,17,1.8824,9,0,2
"CHI vs TOR",2023-08-13,"Amy Zasadzinski",CHI,1,0,1,1,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Bryan Melchior",TOR,1,0,4,2,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Scott Rousseau",TOR,1,0,1,0,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Matthew Bunn",TOR,0,0,2,2,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Savannah Campbell",TOR,0,1,6,1,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Levi Medeiros",TOR,3,0,3,2,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Michael Wanless",TOR,2,0,7,1,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Derek Taylor",TOR,0,0,3,0,2,8,0.8750,-1,0,2
"CHI vs TOR",2023-08-13,"Robert Ali",TOR,1,0,7,2,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Brittany Kahane",TOR,0,0,0,0,0,22,0.9545,-8,0,2
"CHI vs TOR",2023-08-13,"Christos Kaldis",TOR,0,2,5,1,0,0,NULL,0,1,2
"CHI vs TOR",2023-08-13,"Alexander Scherger",TOR,0,0,0,0,0,19,1.0000,-7,0,2
"CHI vs TOR",2023-08-13,"Piotr Makuch",TOR,0,0,1,0,0,19,0.8421,-14,0,2
"CHI vs TOR",2023-08-13,"Isabelle Kirby",TOR,0,0,0,0,1,16,0.6875,-10,0,2
"CHI vs TOR",2023-08-13,"Rebecca Hodder",TOR,1,0,0,0,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Sarah Dykstra",TOR,0,0,0,1,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Noelle Starling",TOR,0,0,4,0,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Sinan Keyder",TOR,1,1,8,1,0,0,NULL,0,0,2
"CHI vs TOR",2023-08-13,"Emma Sherwood",TOR,0,0,0,0,0,17,1.1765,-1,0,2
"CHI vs TOR",2023-08-13,"Zac MacDonald",TOR,0,0,0,0,3,24,0.7917,-12,0,2
"CHI vs TOR",2023-08-13,"Cory Smithson",TOR,4,2,7,4,0,0,NULL,0,1,2
"CHI vs TOR",2023-08-13,"Grace Davey",TOR,0,0,0,0,0,19,0.6842,-16,0,2
"DET vs ROC",2023-08-13,"Ryan Swanson",DET,0,0,0,0,2,12,1.5000,4,0,2
"DET vs ROC",2023-08-13,"Brian Flahie",DET,2,1,1,0,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Lyndsey Smeyers",DET,1,0,1,0,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Ryan Hsu",DET,0,0,0,0,8,37,1.7568,1,0,2
"DET vs ROC",2023-08-13,"Gwen Pratt",DET,0,0,1,1,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Amanda Margolis",DET,2,0,0,0,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Kaegan Maddelein",DET,6,5,1,5,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"George Dering",DET,3,4,1,2,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Marisa Wier",DET,0,0,0,0,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Jack Levy",DET,7,4,1,0,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Rob Butler",DET,0,4,0,1,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Ethan Wanous",DET,0,0,0,0,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Eden Ahern",DET,0,0,0,0,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Brooke Smiley",DET,0,0,0,0,2,20,1.6500,5,0,2
"DET vs ROC",2023-08-13,"Lukas Marklin",DET,2,0,2,2,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"David Banas",DET,0,0,0,0,4,15,1.8000,5,1,2
"DET vs ROC",2023-08-13,"Nicholas Love",DET,7,1,1,6,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Rei Brodeur",DET,0,0,0,0,6,37,1.7568,3,0,2
"DET vs ROC",2023-08-13,"Jay Hartnett",DET,0,0,0,0,1,7,1.7143,2,0,2
"DET vs ROC",2023-08-13,"Andrew Mueller",DET,0,0,0,0,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Evalien Duyvesteyn",ROC,0,0,0,1,0,4,0.2500,-2,0,2
"DET vs ROC",2023-08-13,"Alyssa Giarrosso",ROC,0,0,0,0,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Cody Keefer",ROC,6,3,7,9,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Madeleine Fordham",ROC,0,0,0,0,3,46,1.0435,-7,0,2
"DET vs ROC",2023-08-13,"Joe Glichowski",ROC,0,0,0,0,5,54,1.0926,-16,0,2
"DET vs ROC",2023-08-13,"Jianhao Gao",ROC,0,0,2,0,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Rose Mournighan",ROC,0,0,0,0,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"JD Hopton",ROC,5,2,7,3,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Kit Powpour",ROC,0,1,3,1,1,23,1.4348,-2,0,2
"DET vs ROC",2023-08-13,"Ad Ojo",ROC,3,1,5,3,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Elizabeth McFarland-Porter",ROC,0,0,0,0,0,5,1.0000,-3,0,2
"DET vs ROC",2023-08-13,"Ashely Dolan",ROC,0,0,0,0,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Ashley Wilson",ROC,2,0,4,3,0,0,NULL,0,0,2
"DET vs ROC",2023-08-13,"Benjamin Stonish",ROC,2,0,8,3,0,0,NULL,0,0,2
"AUS vs BOS",2023-08-26,"Miguel Esparza",AUS,4,0,2,3,0,0,NULL,0,0,2
"AUS vs BOS",2023-08-26,"Jenna Adams Tracy",AUS,2,0,3,3,0,0,NULL,0,0,2
"AUS vs BOS",2023-08-26,"Andrew Axtell",AUS,5,4,2,3,0,0,NULL,0,0,2
"AUS vs BOS",2023-08-26,"Michael Parada",AUS,3,0,1,0,0,0,NULL,0,0,2
"AUS vs BOS",2023-08-26,"Kasye Bevers",AUS,0,0,0,2,1,16,1.2500,3,0,2
"AUS vs BOS",2023-08-26,"Daniel Williams",AUS,0,0,0,0,5,36,1.6111,15,0,2
"AUS vs BOS",2023-08-26,"Mark McQuage",AUS,0,0,0,0,0,0,NULL,0,0,2
"AUS vs BOS",2023-08-26,"Isabella Rios",AUS,0,0,0,0,0,2,0.5000,-1,0,2
"AUS vs BOS",2023-08-26,"Josh Johnson",AUS,9,1,7,1,0,0,NULL,0,0,2
"AUS vs BOS",2023-08-26,"Eric Reyes",AUS,0,0,0,0,0,0,NULL,0,0,2
"AUS vs BOS",2023-08-26,"Dylan Bottoms",AUS,0,0,0,0,0,0,NULL,0,0,2
"AUS vs BOS",2023-08-26,"Kyzer Polzin",AUS,0,0,0,0,2,21,1.2381,-2,0,2
"AUS vs BOS",2023-08-26,"Purvi Mujumdar",AUS,0,0,0,0,0,5,1.2000,-2,0,2
"AUS vs BOS",2023-08-26,"Jackson Johnson",AUS,0,0,0,0,8,39,1.6154,15,0,2
"AUS vs BOS",2023-08-26,"Mel Kite",AUS,1,0,3,0,0,0,NULL,0,0,2
"AUS vs BOS",2023-08-26,"Kaci Erwin",AUS,1,3,3,5,0,0,NULL,0,0,2
"AUS vs BOS",2023-08-26,"Cameron Castilaw",AUS,0,0,0,0,0,0,NULL,0,0,2
"AUS vs BOS",2023-08-26,"Augustine Monroe",AUS,5,4,4,8,0,0,NULL,0,0,2
