Player,Team,Goals,Assists,Turnovers,"Quadball Stops","Beater Stops","Beater Shifts","Average Dodgeballs",Plus/Minus,"Runner Catches","Games Played"
"Erin McCrady",BOS,0,0,0,1,6,104,1.4519,11,0,12
"Andrew Steinberg",BOS,6,4,4,5,0,0,NULL,0,0,6
"Zach Doyle",BOS,19,14,4,14,0,0,NULL,0,0,12
"Kieran Collier",BOS,0,0,1,0,9,120,1.5500,12,0,12
"Claire Olmstead",BOS,0,0,0,0,0,0,NULL,0,0,0
"Max Havlin",BOS,0,0,0,0,3,30,1.6333,2,0,3
"Lulu Xu",BOS,0,0,0,0,4,31,1.6129,10,0,3
"Mason duBoef",BOS,0,0,0,0,0,0,NULL,0,0,0
"Tyler Beckmann",BOS,14,6,7,14,0,0,NULL,0,1,12
"Harry Greenhouse",BOS,8,6,4,6,0,0,NULL,0,0,9
"Peter Lawrence",BOS,16,16,16,16,0,0,NULL,0,0,12
"Athena Mayor",BOS,14,3,9,2,0,0,NULL,0,0,12
"Sierra Delk",BOS,5,2,3,1,0,0,NULL,0,0,12
"Andrew Bittles",BOS,0,0,0,0,5,62,1.4032,13,0,9
"William Richardson",BOS,7,1,4,1,0,0,NULL,0,0,9
"David Fox",BOS,0,0,0,0,0,0,NULL,0,0,0
"Ian Scura",BOS,27,35,16,20,0,0,NULL,0,0,12
"Gregory Bento",BOS,4,6,2,2,0,0,NULL,0,2,12
"Morgan Bertram",BOS,6,0,5,4,0,0,NULL,0,0,9
"Carsen Olazaba",BOS,13,15,11,11,0,0,NULL,0,0,12
"Ana Luiza Nicolae",BOS,0,0,2,7,0,0,NULL,0,0,6
"Leeanne Dillmann",BOS,0,0,0,0,14,114,1.5702,16,0,12
"William Andrews",BOS,0,0,0,0,5,92,1.4891,9,0,12
"Serena Monteiro",BOS,0,0,0,0,3,60,1.3500,3,0,9
"Jessica Lee",BOS,0,0,0,0,1,11,1.2727,2,0,3
"Abraham Beningson",BOS,1,4,0,0,0,0,NULL,0,0,3
"Fiona Wisehart",BOS,0,0,0,0,7,48,1.5417,14,0,9
"Sam Beeler",CLE,0,0,0,1,9,126,1.3175,-24,0,9
"Lillian Schlade",CLE,0,0,0,0,0,0,NULL,0,0,0
"David Profusek",CLE,0,1,0,0,0,0,NULL,0,0,3
"Taylor Freeman",CLE,3,1,14,9,0,0,NULL,0,0,9
"Will Templin",CLE,0,0,0,0,4,27,1.3333,-10,0,3
"Jack Moseley",CLE,5,10,22,4,3,35,1.4286,-3,0,9
"Melinda Staup",CLE,3,0,8,3,0,0,NULL,0,0,6
"Rachel Krieger",CLE,0,0,0,0,0,0,NULL,0,0,3
"Rae Barnes",CLE,0,0,1,0,3,42,1.3095,-6,0,6
"Gabbie Benda",CLE,0,0,0,0,2,33,1.5455,-3,0,9
"Aaron Oehler",CLE,0,0,2,0,9,56,1.3571,-7,0,6
"Frank Abbey",CLE,0,1,1,0,3,24,1.1667,-1,0,9
"Dominik Twarowski",CLE,4,1,3,2,0,0,NULL,0,0,6
"Lacey Hutchman",CLE,0,0,0,0,3,67,1.2836,-14,0,9
"Joseph Lombardi",CLE,12,16,27,12,0,0,NULL,0,0,9
"Peter Brechting",CLE,19,6,42,22,0,0,NULL,0,0,9
"Carrie Cowden",CLE,4,1,10,4,0,0,NULL,0,0,6
"Fiona Gaffney",CLE,5,3,19,3,0,0,NULL,0,0,9
"Andrew Tudor",CLE,0,0,0,0,0,0,NULL,0,0,6
"Korey Johnson",CLE,7,5,28,12,0,0,NULL,0,0,9
"Kaz Christian",CLE,1,0,1,0,1,37,1.1081,-8,0,6
"Austin Howe",CLE,0,0,0,0,3,27,1.7037,-3,0,3
"Rob Beaton",CLE,0,0,2,0,0,23,1.0870,-3,0,6
"Thomas Branch",CLE,0,0,1,0,0,0,NULL,0,1,3
"Gabriel Boris",CLE,10,4,13,9,0,2,1.5000,0,2,9
"Larissa Gaborick",CLE,0,0,2,0,0,0,NULL,0,0,6
"Kyle Dawson",CLE,0,0,0,0,4,52,1.3462,-6,0,6
"Erik Lamb",CLE,1,2,3,2,0,0,NULL,0,0,3
"Lucas Groll",CLE,0,0,0,0,0,0,NULL,0,0,0
"Jillian DeKiel",CLE,0,0,0,0,0,0,NULL,0,0,0
"Liam Zach",CHI,8,10,4,13,0,0,NULL,0,0,8
"Amy Zasadzinski",CHI,4,1,1,1,0,0,NULL,0,0,5
"Grant Himmelmann",CHI,6,2,4,7,0,0,NULL,0,0,5
"Caleb Williams",CHI,0,0,0,0,4,71,1.6056,25,0,8
"Lauren Smith",CHI,2,2,5,2,0,0,NULL,0,0,5
"Cole Collins",CHI,11,10,1,7,0,0,NULL,0,0,8
"Tim Kwan",CHI,0,0,0,0,2,37,1.4595,5,0,5
"Byron Ng",CHI,7,7,7,5,0,0,NULL,0,0,6
"Nivash Jayaram",CHI,15,5,9,9,0,0,NULL,0,0,8
"Matt Brown",CHI,0,0,0,0,17,121,1.7025,49,0,8
"Ally Manzella",CHI,19,3,7,8,0,0,NULL,0,0,8
"Jim Richert",CHI,0,0,0,0,4,41,1.4390,14,0,5
"Darian Murcek-Ellis",CHI,13,13,5,7,0,0,NULL,0,0,5
"Colin Gaines",CHI,0,0,0,0,2,39,1.4615,5,0,6
"Nojus Ausra",CHI,0,0,0,0,7,74,1.5541,28,0,8
"Michael Mrowiec",CHI,0,0,0,0,8,43,1.6047,14,0,6
"Benjamin Peachey",CHI,10,4,4,5,1,3,2.0000,2,0,8
"Kailey Fugate",CHI,1,1,2,1,0,0,NULL,0,0,7
"Alyssa Marassa",CHI,1,1,2,0,0,0,NULL,0,0,3
"Jemil Hunter",CHI,1,1,3,1,0,0,NULL,0,0,3
"Nathan Digmann",CHI,27,24,7,24,0,0,NULL,0,0,8
"Scotty Rein",CHI,1,2,2,3,0,0,NULL,0,0,3
"Ryley Andrews",CHI,15,10,4,10,0,0,NULL,0,0,5
"Connor Flatley",CHI,0,0,0,0,0,0,NULL,0,0,0
"Matt Melton",CHI,3,2,1,5,0,0,NULL,0,1,5
"Linnea Schultz",CHI,0,0,0,0,2,17,1.8824,9,0,2
"Dany Yaacoub",CHI,0,0,0,0,0,62,1.4677,16,0,5
"Emma Vasquez",CHI,10,4,6,6,0,0,NULL,0,0,8
"Melanie Rolfe",CHI,1,0,0,0,0,0,NULL,0,0,4
"Veronica Hoffman",CHI,0,0,0,0,2,20,1.6500,3,0,3
