Player,Team,Goals,Assists,Turnovers,"Quadball Stops","Beater Stops","Beater Shifts","Average Dodgeballs",Plus/Minus,"Runner Catches","Games Played"
"Jackson Vaughn",LC,0,0,0,0,0,0,NULL,0,0,3
"Alex Mitchell",DET,2,2,2,1,0,0,NULL,0,0,3
"Eden Ahern",DET,0,0,3,0,0,0,NULL,0,0,5
"Julien Theuerkauf",DET,6,3,6,3,0,0,NULL,0,0,3
"Lyndsey Smeyers",DET,7,3,15,0,0,0,NULL,0,0,11
"Brice Tweddle",DET,0,0,0,0,0,0,NULL,0,0,0
"Nathan Feidner",DET,0,1,1,1,0,0,NULL,0,0,6
"Rob Butler",DET,1,9,5,11,0,9,0.7778,-6,0,11
"Ryan Hsu",DET,0,0,0,0,38,180,1.5111,-1,0,11
"Jack Levy",DET,20,5,9,4,0,0,NULL,0,0,7
"Sarah Maxey",DET,0,0,1,0,0,0,NULL,0,0,3
"Nicholas Love",DET,13,2,3,14,0,0,NULL,0,0,8
"Rick Wasser",DET,2,0,2,2,0,0,NULL,0,0,3
"Gwen Pratt",DET,5,3,12,7,0,0,NULL,0,0,11
"Ryan Swanson",DET,0,0,0,0,4,66,1.1970,-14,0,8
"Marisa Wier",DET,0,0,0,0,7,91,1.2088,-11,0,11
"Ethan Wanous",DET,10,5,13,12,0,0,NULL,0,0,11
"David Banas",DET,0,0,1,0,9,47,1.5532,11,1,8
"David Wier",DET,0,0,0,0,2,19,0.8947,-7,0,3
"Amanda Margolis",DET,2,1,7,1,0,0,NULL,0,0,8
"George Dering",DET,4,6,3,4,0,0,NULL,0,0,8
"Andrew Mueller",DET,4,2,9,4,0,0,NULL,0,0,8
"Jay Hartnett",DET,0,0,0,0,1,13,1.3077,-2,0,11
"Ash Toth",DET,0,0,0,0,0,0,NULL,0,0,1
"Brooke Smiley",DET,0,0,0,0,6,61,1.2787,-11,0,11
"Dustin Minnick",DET,0,0,0,0,0,14,0.6429,-11,0,6
"Thomas Weir",DET,2,0,5,0,0,0,NULL,0,0,6
