Player,Team,Goals,Assists,Turnovers,"Quadball Stops","Beater Stops","Beater Shifts","Average Dodgeballs",Plus/Minus,"Runner Catches","Games Played"
"Nicodemus Robles",SA,0,0,0,0,0,0,NULL,0,0,2
"Terra Robinson",SA,0,0,0,0,0,0,NULL,0,0,2
"Trevor Smith",SA,0,0,1,0,0,0,NULL,0,0,2
"Wyatt Ross",SA,0,0,0,0,0,0,NULL,0,0,0
"Javi Tijerina",SA,0,0,0,0,2,11,1.0000,-5,0,2
"Leo Rodriguez",SA,0,0,0,0,0,0,NULL,0,0,0
"Scott Rousseau",TOR,0,0,0,0,0,0,NULL,0,0,2
"Grace Davey",TOR,0,0,0,0,0,0,NULL,0,0,0
"Diana Shakhova",TOR,0,0,0,0,0,0,NULL,0,0,0
"Samantha McCaul",TOR,0,0,0,0,0,0,NULL,0,0,0
"Joanne Lam",TOR,0,0,4,0,0,0,NULL,0,0,2
"Levi Medeiros",TOR,1,0,0,0,0,0,NULL,0,0,2
"Alexander Scherger",TOR,0,0,0,0,0,18,1.3333,-10,0,2
"Rebecca Hodder",TOR,0,0,0,0,0,0,NULL,0,0,0
"Cory Smithson",TOR,0,0,0,0,4,18,1.5556,-5,1,2
"Derek Taylor",TOR,0,0,0,0,1,13,1.3846,-4,0,2
"Stevie Vindua",TOR,1,2,14,1,0,0,NULL,0,0,2
"Gabriel Kwok",TOR,0,0,0,0,0,0,NULL,0,0,0
"Andrew Kusters",TOR,1,2,6,1,0,0,NULL,0,0,2
"Michael Wanless",TOR,2,0,6,1,0,0,NULL,0,0,2
"Savannah Campbell",TOR,1,0,2,0,0,0,NULL,0,0,2
"Bryan Melchior",TOR,1,3,2,4,0,0,NULL,0,0,2
"Isabelle Kirby",TOR,0,0,0,0,0,0,NULL,0,0,0
"Sarah Dykstra",TOR,1,0,1,0,0,0,NULL,0,0,2
"Brittany Kahane",TOR,0,0,0,0,0,15,1.2667,-5,0,2
"Christos Kaldis",TOR,1,0,3,0,0,0,NULL,0,0,2
"Sinan Keyder",TOR,0,0,1,1,0,0,NULL,0,0,2
"Robert Ali",TOR,0,0,0,0,0,0,NULL,0,0,2
"Devin Dutt",TOR,0,0,0,0,1,21,1.5238,-7,0,2
"Zac MacDonald",TOR,0,0,0,0,0,0,NULL,0,0,0
"Alex Shehdula",TOR,0,0,0,0,0,0,NULL,0,0,0
"Noelle Starling",TOR,0,0,1,0,0,0,NULL,0,0,2
"Emma Sherwood",TOR,0,0,0,0,0,19,1.5263,-9,0,2
"Piotr Makuch",TOR,0,0,0,0,0,0,NULL,0,0,0
"Matthew Bunn",TOR,2,0,0,0,0,0,NULL,0,0,2
"Wils Nielsen",TOR,0,0,0,0,0,0,NULL,0,0,0
"Christopher Balasa",NYC,0,0,0,0,0,0,NULL,0,0,5
"Annika Kim",NYC,0,1,0,0,0,0,NULL,0,0,2
"Luis Mendoza",NYC,2,3,1,0,0,0,NULL,0,0,5
"Leo Fried",NYC,15,5,9,7,0,0,NULL,0,0,5
"Jon Jackson",NYC,20,9,8,20,0,0,NULL,0,0,5
"Emily Hickmott",NYC,2,0,1,1,3,15,1.4667,4,0,5
"Molly Potter",NYC,0,1,3,1,0,0,NULL,0,0,5
"Tate Kay",NYC,0,0,0,0,4,55,1.4727,24,0,5
"Jason Ng",NYC,0,0,0,0,4,16,1.5000,5,0,5
"Janko Gvozdenovic",NYC,0,0,0,0,0,0,NULL,0,0,0
"Christian Barnes",NYC,0,0,2,0,2,47,1.4043,-3,0,5
"Rachel Ayella-Silver",NYC,0,0,0,0,0,0,NULL,0,0,0
"Phill Cain",NYC,0,0,0,0,1,11,1.7273,7,0,5
"Eric Pagoada",NYC,2,2,0,1,0,0,NULL,0,2,5
"Devin Lee",NYC,0,0,0,1,2,42,1.4048,5,0,5
"Jacob Ehrlich",NYC,0,0,0,0,0,6,1.1667,0,0,2
"Tessa Mullins",NYC,0,0,0,0,2,55,1.3636,23,0,5
"Vincenzo Cicco",NYC,0,0,0,0,1,18,1.3889,-1,0,5
"Jahved Cole",NYC,6,0,7,1,0,0,NULL,0,0,5
"Avery Olivar",NYC,1,0,2,1,0,0,NULL,0,0,5
"Michael Li",NYC,6,9,13,5,0,0,NULL,0,0,5
"Zachary Armantrading",NYC,8,0,4,6,0,0,NULL,0,0,5
"David Hoops",NYC,0,0,0,0,0,0,NULL,0,0,0
"Kerri Donnelly",NYC,0,0,0,0,0,0,NULL,0,0,0
"Kristin Forsstrom",NYC,0,0,0,0,0,0,NULL,0,0,0
"Lindsay Marella",NYC,3,8,5,7,0,0,NULL,0,0,5
"Mohammed Haggag",NYC,0,0,0,0,0,0,NULL,0,0,1
"Frank Minson",NYC,8,4,7,5,0,1,1.0000,-1,0,5
"Jason Rosenberg",NYC,0,0,0,0,0,0,NULL,0,0,0
"Vincent Iannucci",NYC,0,1,1,5,0,0,NULL,0,0,5
"Andrew Axtell",AUS,13,7,6,6,0,0,NULL,0,0,6
"Sammy Garza",AUS,6,3,4,2,0,0,NULL,0,0,6
"Kaci Erwin",AUS,5,5,4,9,0,23,1.3478,0,0,6
"Dylan Bottoms",AUS,2,3,1,4,0,0,NULL,0,0,6
"Louis Sanchez",AUS,7,15,4,4,0,0,NULL,0,0,6
"Daniel Williams",AUS,0,0,0,0,13,111,1.5946,26,0,6
"Mel Kite",AUS,6,0,4,5,0,0,NULL,0,0,6
"Aryan Ghoddossy",AUS,0,0,0,0,0,0,NULL,0,0,0
"Kyzer Polzin",AUS,0,0,0,0,5,40,1.4250,2,0,6
"Michael Parada",AUS,5,3,2,5,0,0,NULL,0,2,6
"Augustine Monroe",AUS,13,18,12,14,0,0,NULL,0,0,6
"Jennifer Bollweg",AUS,0,0,0,0,0,0,NULL,0,0,4
"Jackson Johnson",AUS,0,0,0,0,18,88,1.6250,21,0,6
"Purvi Mujumdar",AUS,0,0,0,0,0,5,1.2000,-2,0,2
"Missy Ghoddossy",AUS,0,0,0,0,0,0,NULL,0,0,0
"Mark McQuage",AUS,0,0,0,0,0,0,NULL,0,0,6
"Kasye Bevers",AUS,0,0,0,2,4,60,1.4833,10,0,6
"Bailee Fields",AUS,0,0,0,0,0,0,NULL,0,0,0
"Jenna Adams Tracy",AUS,5,1,6,5,0,0,NULL,0,0,6
"Josh Johnson",AUS,25,5,14,7,0,0,NULL,0,0,6
"TJ Martinez",AUS,0,0,0,0,0,0,NULL,0,0,0
"Cameron Castilaw",AUS,0,0,0,0,0,0,NULL,0,0,6
"Austin Villejo",AUS,0,0,0,0,0,0,NULL,0,0,0
"Cameron Ogilvie",AUS,0,0,0,0,0,0,NULL,0,0,0
"Miguel Esparza",AUS,11,0,5,5,0,0,NULL,0,0,6
"Eric Reyes",AUS,0,0,0,0,0,0,NULL,0,0,6
"Isabella Rios",AUS,0,0,0,0,0,2,0.5000,-1,0,2
"Taylor Tracy",AUS,0,0,0,0,3,39,1.2308,-2,0,6
"Pierce Wilson",AUS,0,0,0,0,0,0,NULL,0,1,4
"Barbara Groh",AUS,0,0,0,0,0,0,NULL,0,0,0
"Katryna Hicks",WAS,0,0,0,0,1,7,1.2857,0,0,1
"Tai-Juan Generette",WAS,3,4,4,5,0,0,NULL,0,2,4
"Zain Bhalia",WAS,0,1,0,0,2,24,1.3750,3,0,4
"Shane McConaghie",WAS,2,5,6,2,0,0,NULL,0,0,4
"Bernardo Berges",WAS,0,0,0,0,0,10,1.2000,1,0,1
"Zan Siddiqui",WAS,0,0,0,0,0,0,NULL,0,0,0
"David Littleton",WAS,5,0,4,4,0,0,NULL,0,0,4
"Bryan Mulcahy",WAS,10,1,3,5,0,0,NULL,0,0,4
"Julia Rankin",WAS,2,1,1,2,0,0,NULL,0,0,4
"Jeannette High",WAS,0,0,0,0,0,0,NULL,0,0,0
"Elizabeth Stone",WAS,0,0,0,0,0,0,NULL,0,0,0
"Rachel Heald",WAS,2,6,2,2,0,0,NULL,0,0,4
"Julianne Nuetzel",WAS,0,0,0,0,0,0,NULL,0,0,4
"Nicola Gertler",WAS,0,0,0,0,2,23,0.9565,0,0,4
"Tyler Trudeau",WAS,7,5,3,2,0,0,NULL,0,0,4
"Riley Starrs",WAS,4,4,3,4,0,0,NULL,0,0,4
"Ali Iannucci",WAS,0,0,0,0,0,0,NULL,0,0,0
"Melissa Smith",WAS,0,0,0,0,0,16,1.3750,1,0,3
"Robby May",WAS,0,0,0,0,0,0,NULL,0,0,0
"Dale Farnan",WAS,2,5,0,4,0,0,NULL,0,0,4
"Robert Rice",WAS,0,0,0,0,1,13,1.5385,3,0,3
"John Gaffigan",WAS,5,1,7,3,0,0,NULL,0,0,4
"Adrian Koretsky",WAS,0,0,0,0,2,26,1.3462,1,0,4
"Cody Nardone",WAS,0,0,0,0,0,0,NULL,0,0,0
"Julia Baer",WAS,2,7,2,1,0,0,NULL,0,0,4
"Jerrick Knippel",WAS,6,4,5,2,0,0,NULL,0,0,4
"Nathan Morton",WAS,0,0,0,0,1,30,1.1000,0,0,4
"Diana Howard",WAS,0,0,0,0,3,38,1.4211,5,0,4
"Rachel Williams",WAS,0,0,0,0,0,0,NULL,0,0,0
"Colin Bourn",WAS,0,0,0,0,4,33,1.3333,0,0,4
